onset	duration	block_n	task_relevant	trial_type	colour	direction_of_approach	critical_time	outcome	response_time
5.3419999999999845	2.0016358000002583	1	True	event	red	left	1.166761299999962	false_alarm	0.08146238000117023
6.576000000000022	2.001652599999943	1	True	event	red	right	1.1681942999994135	false_alarm	0.16416538000120795
7.759999999999991	2.0016991000002236	1	False	event	blue	right	1.1685027000003174	correct_rejection	n/a
8.794999999999959	2.3344190999996215	1	False	distractor	blue	right	1.1667856000003383	correct_rejection	n/a
9.894999999999982	2.3354527000001326	1	False	distractor	blue	left	1.1676250000000437	correct_rejection	n/a
10.946000000000026	2.185151100000411	1	True	target	red	right	1.1684628000002704	hit	0.18139808000032076
11.92999999999995	2.3027531000007286	1	True	target	red	right	1.168328300000212	hit	0.2981067800006656
13.249000000000024	2.0007943000000523	1	False	event	blue	left	1.1667792999996607	correct_rejection	n/a
14.432999999999993	2.234328600000538	1	True	target	red	left	1.1667924000003325	hit	0.23215818000022637
15.716000000000008	2.0016372000000047	1	False	event	blue	left	1.1684402999999293	correct_rejection	n/a
16.701000000000022	2.335301999999473	1	False	distractor	blue	right	1.167842799999562	correct_rejection	n/a
17.63499999999999	2.2360388000006424	1	True	target	red	left	1.1683871000004729	hit	0.23145588000045336
18.918999999999983	2.335799499999638	1	True	target	red	right	1.1676435999997352	late_response	0.36493618000039874
19.986999999999966	2.002520999999433	1	False	event	blue	right	1.167659099999554	correct_rejection	n/a
21.072000000000003	2.334416300000157	1	False	distractor	blue	right	1.1667783000002316	correct_rejection	n/a
22.072000000000003	2.0016801999999814	1	True	event	red	right	1.1676890999997624	correct_rejection	n/a
23.021999999999935	2.335251499999657	1	False	distractor	blue	left	1.1684887999999773	correct_rejection	n/a
24.07299999999998	2.0016465999997592	1	True	event	red	left	1.168458099999981	false_alarm	0.19728188000007663
25.024	2.3360708999998394	1	False	distractor	blue	left	1.1676453999998273	correct_rejection	n/a
25.976	2.0008246999996118	1	False	event	blue	right	1.1667982999997548	correct_rejection	n/a
27.208999999999946	2.0018973999994785	1	True	event	red	left	1.1676539000000048	correct_rejection	n/a
28.442999999999984	2.001695900000385	1	True	event	red	right	1.1681152000000736	correct_rejection	n/a
29.54499999999996	2.3356702999999186	1	False	distractor	blue	right	1.1672225000002072	correct_rejection	n/a
30.46199999999999	2.0021482000001924	1	False	event	blue	left	1.1676213999999163	correct_rejection	n/a
31.746999999999957	2.000829800000247	1	True	event	red	left	1.1667833000001337	correct_rejection	n/a
33.03099999999995	2.335286300000007	1	False	distractor	blue	right	1.1684859000006327	correct_rejection	n/a
34.38199999999995	2.002494899999874	1	True	event	red	left	1.1676471999999194	correct_rejection	n/a
35.33299999999997	2.334436199999743	1	True	target	red	right	1.1667986000001918	miss	n/a
36.43299999999999	2.3019039999999222	1	True	target	red	left	1.16763929999982	hit	0.2982668800001136
37.51800000000003	2.0007847000006223	1	False	event	blue	left	1.1667737000007037	correct_rejection	n/a
38.58600000000001	2.000789400000002	1	False	event	blue	left	1.166788199999246	correct_rejection	n/a
39.903999999999996	2.334441899999547	1	False	distractor	blue	left	1.1668133999992278	correct_rejection	n/a
41.15499999999997	2.2178753999996843	1	True	target	red	left	1.166989199999989	hit	0.21486148000039407
42.43799999999999	2.001666600000135	1	False	event	blue	left	1.1680715000001953	correct_rejection	n/a
43.75699999999995	2.0007871999996496	1	True	event	red	left	1.1667946999996275	correct_rejection	n/a
