onset	duration	block_n	task_relevant	trial_type	colour	direction_of_approach	critical_time	outcome	response_time
12.530999999999949	2.202115199999753	1	True	target	red	right	1.1671000000005733	hit	0.19805499999893073
13.465999999999894	2.3350107999995373	1	False	distractor	blue	left	1.1667800999994142	correct_rejection	n/a
14.448999999999842	2.3360742000004393	1	False	distractor	blue	left	1.1675893000001452	correct_rejection	n/a
15.549999999999955	2.0016742999996495	1	False	event	blue	left	1.1684953000003588	correct_rejection	n/a
16.817999999999984	2.2018471000001227	1	True	target	red	left	1.1684805000004417	hit	0.1977822999988348
18.019000000000005	2.335474100000283	1	False	distractor	blue	right	1.1676359000002776	correct_rejection	n/a
19.336000000000013	2.001667099999395	1	True	event	red	left	1.1684807999999975	correct_rejection	n/a
20.58699999999999	2.001658199999838	1	False	event	blue	right	1.1684889999996813	correct_rejection	n/a
21.871999999999844	2.002298500000535	1	False	event	blue	left	1.1676433000002362	correct_rejection	n/a
23.038999999999987	2.3353105999995023	1	False	distractor	blue	right	1.1684215999994194	correct_rejection	n/a
24.023999999999887	2.0008262000001196	1	True	event	red	left	1.1667997000004107	false_alarm	0.19808459999876504
25.174999999999955	2.2518675999999687	1	True	target	red	left	1.1684727999999893	hit	0.24724759999938328
26.375999999999976	2.2518816000001607	1	True	target	red	right	1.167635199999495	hit	0.2480931000000055
27.72699999999986	2.185146600000735	1	True	target	red	left	1.1667873000005784	hit	0.1823761999994531
28.69399999999996	2.0016748999996707	1	False	event	blue	right	1.1682984999997643	correct_rejection	n/a
29.611999999999853	2.2685590000000957	1	True	target	red	right	1.1684921999994913	hit	0.263922699999938
30.92899999999986	2.001652500000091	1	False	event	blue	left	1.1681070000004183	correct_rejection	n/a
31.847999999999956	2.0008326999995916	1	False	event	blue	left	1.1667919000001348	correct_rejection	n/a
32.847999999999956	2.0014915000001565	1	True	event	red	left	1.1674448000003395	correct_rejection	n/a
34.08199999999988	2.0025347999999212	1	True	event	red	left	1.1676547999995819	correct_rejection	n/a
35.28399999999988	2.335403099999894	1	False	distractor	blue	left	1.1669539000004079	correct_rejection	n/a
36.33399999999983	2.002497399999811	1	False	event	blue	left	1.1676275999998325	correct_rejection	n/a
37.33499999999981	2.2849973000002137	1	True	target	red	right	1.1673682000000554	hit	0.28145349999886093
38.4699999999998	2.3352393000004668	1	False	distractor	blue	left	1.16677830000026	correct_rejection	n/a
39.76999999999998	2.0016804999995657	1	True	event	red	left	1.168462699999509	correct_rejection	n/a
40.871999999999844	2.3344468999994206	1	False	distractor	blue	right	1.1667931000001772	correct_rejection	n/a
41.855999999999995	2.3344427000001815	1	False	distractor	blue	left	1.1667889999998806	correct_rejection	n/a
42.90599999999995	2.0023114999994505	1	False	event	blue	left	1.1674206999996386	correct_rejection	n/a
43.97399999999993	2.00167970000075	1	False	event	blue	right	1.16682370000035	correct_rejection	n/a
44.9079999999999	2.0011445000000094	1	True	event	red	right	1.1668045000006089	correct_rejection	n/a
46.041999999999916	2.000843999999205	1	True	event	red	right	1.1668060999991212	correct_rejection	n/a
47.375999999999976	2.335293799999789	1	False	distractor	blue	right	1.1678853000003073	correct_rejection	n/a
48.327	2.0016684000001987	1	False	event	blue	left	1.1684913999997377	correct_rejection	n/a
49.26099999999997	2.001835400000317	1	True	event	red	right	1.1676484999997854	correct_rejection	n/a
50.3119999999999	2.0016651999994792	1	True	event	red	right	1.1684780999994473	correct_rejection	n/a
51.66300000000001	2.2690136999999595	1	True	target	red	left	1.1672484999999426	hit	0.26476739999907295
52.896999999999935	2.3352830000003735	1	False	distractor	blue	right	1.1684955999999431	correct_rejection	n/a
53.847999999999956	2.00247920000038	1	True	event	red	left	1.1675998999999422	false_alarm	0.23134999999911088
54.91599999999994	2.335494299999482	1	False	distractor	blue	right	1.1669993999994404	correct_rejection	n/a
55.899999999999864	2.0024163000007604	1	True	event	red	right	1.167642299999926	correct_rejection	n/a
56.91799999999989	2.0008041999999477	1	False	event	blue	left	1.1667852000000778	correct_rejection	n/a
58.21799999999985	2.2518981000002896	1	True	target	red	left	1.1676468000005116	hit	0.24818909999885364
59.38599999999997	2.3352843999992103	1	False	distractor	blue	left	1.1682930999995733	correct_rejection	n/a
60.603999999999814	2.335671299999376	1	False	distractor	blue	left	1.1676699999998448	correct_rejection	n/a
61.78800000000001	2.3019113000000573	1	True	target	red	left	1.1684651000005317	hit	0.2972989999989295
62.72199999999998	2.235191200000372	1	True	target	red	right	1.1678035000004456	hit	0.23124249999909807
63.74000000000001	2.001681599999756	1	False	event	blue	right	1.1667906000002404	correct_rejection	n/a
65.03999999999996	2.0016587000000072	1	True	event	red	right	1.1684747999997853	correct_rejection	n/a
65.95799999999986	2.0016653000002407	1	True	event	red	right	1.168482899999617	correct_rejection	n/a
67.10899999999992	2.285592700000052	1	True	target	red	left	1.1676533999998355	hit	0.2814602999997362
68.15999999999985	2.3352753999997446	1	False	distractor	blue	left	1.1681760000001589	correct_rejection	n/a
69.11099999999988	2.0018027000005816	1	True	event	red	left	1.1669244000004255	correct_rejection	n/a
70.44599999999991	2.301078999999845	1	True	target	red	left	1.166790100000071	hit	0.298824099999365
71.57999999999993	2.000798600000053	1	True	event	red	right	1.1667852000000494	false_alarm	0.19796779999978753
72.48000000000002	2.336016400000517	1	False	distractor	blue	right	1.167635300000228	correct_rejection	n/a
73.64799999999991	2.0016726000003757	1	True	event	red	left	1.168381100000289	false_alarm	0.24939569999969535
74.66499999999996	2.301900000000387	1	True	target	red	right	1.1676167000005364	hit	0.2981161999987023
75.58199999999988	2.001676600000792	1	False	event	blue	right	1.168454100000389	correct_rejection	n/a
76.68399999999997	2.334405499999775	1	False	distractor	blue	right	1.1667769999994562	correct_rejection	n/a
