onset	duration	block_n	task_relevant	trial_type	colour	direction_of_approach	critical_time	outcome	response_time
6.872000000000071	2.0016513000000486	1	True	event	red	right	1.1686554000007447	correct_rejection	n/a
7.95699999999988	2.2518154999997932	1	True	target	red	left	1.1665169999996579	hit	0.24836105999983715
9.139999999999873	2.302448899999945	1	True	target	red	left	1.169391500000529	hit	0.2959671599988667
10.259999999999991	2.3344882999999754	1	False	distractor	blue	right	1.1657590000004348	correct_rejection	n/a
11.424999999999955	2.251890700000331	1	True	target	red	right	1.1687292999995407	hit	0.2505536599997811
12.344000000000051	2.335377200000039	1	False	distractor	blue	right	1.1665947000001324	correct_rejection	n/a
13.594000000000051	2.001654800000324	1	False	event	blue	right	1.1694029000000228	correct_rejection	n/a
14.913000000000011	2.000592499999584	1	False	event	blue	right	1.1669996000000538	correct_rejection	n/a
15.861999999999853	2.26874510000016	1	True	target	red	left	1.1676213000000644	hit	0.2662177599991935
16.94699999999989	2.336435700000038	1	False	distractor	blue	left	1.1672339000006104	correct_rejection	n/a
18.230999999999995	2.3352664000003642	1	False	distractor	blue	right	1.1694078000000445	correct_rejection	n/a
19.482999999999947	2.000623699999778	1	False	event	blue	right	1.1666883999996571	correct_rejection	n/a
20.75	2.335276900000281	1	False	distractor	blue	left	1.169556100000591	correct_rejection	n/a
21.967999999999847	2.0021585999993476	1	True	event	red	left	1.166617099999712	correct_rejection	n/a
23.085000000000036	2.3352902000005997	1	False	distractor	blue	left	1.169520299999931	correct_rejection	n/a
24.20399999999995	2.0005825999996887	1	True	event	red	left	1.1669568999996045	correct_rejection	n/a
25.420000000000073	2.2518650999991223	1	True	target	red	left	1.1686900999993668	hit	0.24816085999975712
26.623000000000047	2.0005472000002555	1	False	event	blue	right	1.1662145000000237	correct_rejection	n/a
27.605000000000018	2.3185985000000073	1	True	target	red	left	1.1687046000006376	hit	0.31344095999938304
28.623000000000047	2.2533466999993834	1	True	target	red	right	1.167323599999662	hit	0.24766155999952844
29.892000000000053	2.3338029000005918	1	False	distractor	blue	right	1.167213100000481	correct_rejection	n/a
31.210000000000036	2.233414299999822	1	True	target	red	right	1.1658529999995153	hit	0.23138625999999363
32.39300000000003	2.002169700000195	1	True	event	red	right	1.1684206999998423	false_alarm	0.16421795999994515
33.596000000000004	2.2842044999997597	1	True	target	red	right	1.1655032999997275	hit	0.28101085999932707
34.71100000000001	2.3355867000000217	1	False	distractor	blue	left	1.1686437999996997	correct_rejection	n/a
35.761999999999944	2.3210370999995575	1	True	target	red	right	1.167635199999495	hit	0.3144683599999496
36.74599999999987	2.335268400000132	1	False	distractor	blue	left	1.168850800000655	correct_rejection	n/a
38.013999999999896	2.001714699999866	1	False	event	blue	left	1.167624199999409	correct_rejection	n/a
39.065000000000055	2.0016689999993105	1	False	event	blue	right	1.168499399999746	correct_rejection	n/a
40.14899999999989	2.30183660000057	1	True	target	red	left	1.167554999999993	hit	0.29769395999991843
41.332999999999856	2.335512200000295	1	False	distractor	blue	left	1.1676188999999795	correct_rejection	n/a
42.350999999999885	2.001179200000479	1	True	event	red	right	1.167122200000449	correct_rejection	n/a
43.51800000000003	2.0027718999999706	1	True	event	red	left	1.1676402000002781	correct_rejection	n/a
