onset	duration	block_n	task_relevant	trial_type	colour	direction_of_approach	critical_time	outcome	response_time
8.02800000000002	2.16911330000039	1	True	target	red	right	1.1677423999999519	hit	0.16752998000029606
9.179000000000087	2.185161999999764	1	True	target	red	left	1.168479799999659	hit	0.18261177999957567
10.313000000000102	2.0019200000006094	1	False	event	blue	right	1.167627600000742	correct_rejection	n/a
11.564000000000078	2.3352568999998766	1	False	distractor	blue	right	1.1684782000002087	correct_rejection	n/a
12.815000000000055	2.0016458000000057	1	False	event	blue	left	1.168479899999511	correct_rejection	n/a
13.916999999999916	2.2176257999999507	1	True	target	red	right	1.1667618999999831	hit	0.21684077999944407
15.017000000000053	2.2193520999999237	1	True	target	red	left	1.1679656000005707	hit	0.21650817999889682
16.134000000000015	2.2190271999998004	1	True	target	red	left	1.168487400000231	hit	0.21682137999906104
17.051999999999907	2.335286200000155	1	False	distractor	blue	right	1.1680659000003288	correct_rejection	n/a
17.986000000000104	2.1517589999994016	1	True	target	red	right	1.168490699999893	hit	0.15011747999906788
18.937000000000126	2.3358355000000017	1	False	distractor	blue	right	1.1676640999994277	correct_rejection	n/a
19.971000000000004	2.001673400000101	1	False	event	blue	right	1.1681069000005948	correct_rejection	n/a
20.92100000000005	2.001675799999248	1	False	event	blue	right	1.1676628999994136	correct_rejection	n/a
21.940000000000055	2.0016559000005145	1	True	event	red	left	1.1668094000006022	correct_rejection	n/a
23.02299999999991	2.1851269999997385	1	True	target	red	left	1.1682504000000336	hit	0.18365747999942528
24.307999999999993	2.0018998000005297	1	True	event	red	left	1.167645999999877	correct_rejection	n/a
25.39300000000003	2.3344433000002027	1	False	distractor	blue	right	1.1668023000001995	correct_rejection	n/a
26.343000000000075	2.001684199999545	1	True	event	red	right	1.1684724999995524	false_alarm	0.18255728000022486
27.610000000000127	2.3352621000003637	1	True	target	red	left	1.1684746999999334	late_response	0.3501862799998037
28.87799999999993	2.3352674999996452	1	False	distractor	blue	right	1.1684845000000053	correct_rejection	n/a
30.145999999999958	2.001988099999835	1	True	event	red	left	1.1676582000000053	correct_rejection	n/a
31.26299999999992	2.3352470000000096	1	False	distractor	blue	left	1.1684660999999608	correct_rejection	n/a
32.480999999999995	2.3356037999992623	1	False	distractor	blue	left	1.16712009999992	correct_rejection	n/a
33.81600000000003	2.0013870000002782	1	False	event	blue	right	1.1668135000000177	correct_rejection	n/a
34.84999999999991	2.001645200000013	1	False	event	blue	right	1.1677562000004968	correct_rejection	n/a
35.750999999999976	2.334521799999493	1	False	distractor	blue	left	1.1668826999994053	correct_rejection	n/a
36.750999999999976	2.0016878000005534	1	True	event	red	right	1.1680824000004861	false_alarm	0.1329430799991087
37.80300000000011	2.1851638999996794	1	True	target	red	right	1.1667995999996208	hit	0.18346108000005756
39.103000000000065	2.3360850999997638	1	False	distractor	blue	left	1.1676065000001472	correct_rejection	n/a
40.23700000000008	2.0023645999999644	1	True	event	red	right	1.167495400000007	correct_rejection	n/a
41.57300000000009	2.001626100000095	1	False	event	blue	left	1.166758899999877	correct_rejection	n/a
42.855999999999995	2.3352583000005325	1	False	distractor	blue	right	1.1683179000001473	correct_rejection	n/a
43.958000000000084	2.001837799999521	1	False	event	blue	right	1.1669867000000806	correct_rejection	n/a
45.291999999999916	2.000964699999713	1	True	event	red	right	1.1667982999997548	correct_rejection	n/a
46.61000000000013	2.3355667999994694	1	False	distractor	blue	left	1.1670876999996835	correct_rejection	n/a
47.710000000000036	2.0016729999997267	1	True	event	red	left	1.1684928999993645	correct_rejection	n/a
48.71100000000001	2.0016728000000796	1	True	event	red	right	1.1683632000003854	correct_rejection	n/a
49.62799999999993	2.335297399999945	1	False	distractor	blue	right	1.168509000000114	correct_rejection	n/a
50.89599999999996	2.286101400000007	1	True	target	red	right	1.168465899999319	hit	0.28354718000028356
52.146999999999935	2.0016513000000486	1	True	event	red	left	1.1684949000000415	correct_rejection	n/a
53.36500000000001	2.0023768999999163	1	False	event	blue	left	1.1676196999996762	correct_rejection	n/a
54.516000000000076	2.0008283000006486	1	False	event	blue	left	1.1667851000001974	correct_rejection	n/a
55.549999999999955	2.002035800000158	1	True	event	red	right	1.167650400000639	false_alarm	0.18340247999952908
56.60100000000011	2.0016602999994575	1	True	event	red	right	1.1684924000000763	false_alarm	0.18253377999957365
57.75199999999995	2.2847535999999025	1	True	target	red	right	1.1671656999996571	hit	0.28353078000000664
59.00299999999993	2.2351877000000684	1	True	target	red	left	1.1676151000001482	hit	0.2335027799994407
60.136999999999944	2.0022598000005303	1	True	event	red	left	1.1673855999997897	correct_rejection	n/a
61.253999999999905	2.0020919000008064	1	True	event	red	right	1.1676360999999815	false_alarm	0.2009117800002116
62.389000000000124	2.0025482999999156	1	False	event	blue	right	1.1676490999998634	correct_rejection	n/a
63.406999999999925	2.0008123999996315	1	True	event	red	right	1.1667841999997108	correct_rejection	n/a
64.33999999999992	2.268553399999263	1	True	target	red	right	1.167732299999443	hit	0.2669220800002279
65.24099999999999	2.336117899999408	1	False	distractor	blue	left	1.1676506999992853	correct_rejection	n/a
66.49199999999996	2.0018807999994976	1	True	event	red	right	1.1676421999991078	correct_rejection	n/a
67.59300000000007	2.001668599999931	1	True	event	red	left	1.167982500000079	correct_rejection	n/a
68.52700000000004	2.3352697000000546	1	True	target	red	right	1.1685044999995	late_response	0.35017808000011996
