onset	duration	block_n	task_relevant	trial_type	colour	direction_of_approach	critical_time	outcome	response_time
6.292000000000144	2.201830500000142	1	True	target	red	left	1.1684869999999137	hit	0.19697346000046423
7.527000000000044	2.335156099999949	1	False	distractor	blue	right	1.1667476000002353	correct_rejection	n/a
8.677000000000135	2.3352826999998797	1	False	distractor	blue	right	1.1683903000002829	correct_rejection	n/a
9.979000000000042	2.001688099999228	1	True	event	red	left	1.1668224999993981	false_alarm	0.14767926000038756
11.313000000000102	2.0008051000004627	1	True	event	red	right	1.166796600000481	correct_rejection	n/a
12.413000000000011	2.2351957000000766	1	True	target	red	right	1.167631700000129	hit	0.2311780600000759
13.632000000000062	2.234341200000017	1	True	target	red	right	1.166796700000333	hit	0.23166276000006292
14.548999999999978	2.0022730000000593	1	True	event	red	left	1.1673999000004187	false_alarm	0.16441225999986386
15.700000000000045	2.0012333999993643	1	True	event	red	left	1.1671927999996115	false_alarm	0.14773616000073275
16.90000000000009	2.3352779000006194	1	False	distractor	blue	right	1.1682815000003757	correct_rejection	n/a
18.235000000000127	2.001657200000409	1	True	event	red	left	1.1684825000001808	correct_rejection	n/a
19.419000000000096	2.2360199999993995	1	True	target	red	right	1.1680765000001259	hit	0.2318805600004623
20.48700000000008	2.001663600000029	1	False	event	blue	left	1.1685019999995632	correct_rejection	n/a
21.604000000000042	2.0016513999999006	1	False	event	blue	left	1.1677297999995346	correct_rejection	n/a
22.855999999999995	2.18515380000008	1	True	target	red	right	1.166789199999613	hit	0.18135886000141
24.006000000000085	2.335262900000089	1	False	distractor	blue	right	1.1684640000002844	correct_rejection	n/a
24.940000000000055	2.3352537999999186	1	False	distractor	blue	right	1.1684673999997983	correct_rejection	n/a
26.208000000000084	2.2860670000000027	1	True	target	red	right	1.1676261000002341	hit	0.281224360000806
27.20900000000006	2.336018600000017	1	False	distractor	blue	left	1.1676286000001994	correct_rejection	n/a
28.526000000000067	2.0016508999997313	1	False	event	blue	right	1.1681810000000041	correct_rejection	n/a
29.545000000000073	2.0017277999995997	1	True	event	red	right	1.1668725999998344	false_alarm	0.2144607600009465
30.679000000000087	2.334435499999927	1	False	distractor	blue	left	1.1668006999998397	correct_rejection	n/a
31.979000000000042	2.001712100000077	1	False	event	blue	left	1.1676311999999314	correct_rejection	n/a
33.047000000000025	2.0023339999997916	1	True	event	red	left	1.167636099999953	correct_rejection	n/a
33.980999999999995	2.0024383999998463	1	False	event	blue	right	1.1675690000001566	correct_rejection	n/a
35.249000000000024	2.0017017000000124	1	True	event	red	right	1.166855100000248	correct_rejection	n/a
36.149000000000115	2.0016587000000072	1	False	event	blue	left	1.168470100000377	correct_rejection	n/a
37.284000000000106	2.0016429000006326	1	False	event	blue	right	1.1675864000008005	correct_rejection	n/a
38.302000000000135	2.001639600000118	1	False	event	blue	right	1.166779500000331	correct_rejection	n/a
39.452	2.0017050999995263	1	False	event	blue	right	1.1682781999998042	correct_rejection	n/a
40.51999999999998	2.3352700999994056	1	True	target	red	right	1.1684654999999111	hit	0.3318333600007577
41.555000000000064	2.0016430999994554	1	True	event	red	left	1.1667765000002248	correct_rejection	n/a
42.738000000000056	2.0022825000005753	1	False	event	blue	left	1.167409200000293	correct_rejection	n/a
43.74000000000001	2.001695199999631	1	True	event	red	left	1.1668438999995487	correct_rejection	n/a
45.07400000000007	2.334421900000052	1	False	distractor	blue	right	1.1668070000005457	correct_rejection	n/a
46.075000000000045	2.00079580000056	1	False	event	blue	left	1.166779699999978	correct_rejection	n/a
47.05899999999997	2.2343644000002314	1	True	target	red	right	1.1667855000005147	hit	0.23144706000022097
47.99299999999994	2.0008164999998996	1	False	event	blue	right	1.1667864999999438	correct_rejection	n/a
49.29300000000012	2.0019528000002538	1	False	event	blue	left	1.1676064000002953	correct_rejection	n/a
50.312000000000126	2.200982100000118	1	True	target	red	left	1.1667844000003242	hit	0.19784236000103306
51.64599999999996	2.334419800000461	1	False	distractor	blue	left	1.1667939999997259	correct_rejection	n/a
52.596000000000004	2.3352791999996043	1	False	distractor	blue	left	1.16846489999989	correct_rejection	n/a
53.881000000000085	2.3359479999999166	1	False	distractor	blue	left	1.167461999999432	correct_rejection	n/a
55.08200000000011	2.3352624999998	1	False	distractor	blue	left	1.1667880000004232	correct_rejection	n/a
56.16599999999994	2.201804700000139	1	True	target	red	left	1.1681377000004431	hit	0.19934716000059893
