onset	duration	block_n	task_relevant	trial_type	colour	direction_of_approach	critical_time	outcome	response_time
4.6590000000001055	2.334441599999991	1	False	distractor	red	right	1.1667918999992253	correct_rejection	n/a
5.976000000000113	2.3352718999994977	1	False	distractor	red	right	1.1667797999998584	correct_rejection	n/a
7.311000000000149	2.0008375000006424	1	True	event	blue	right	1.1667937000001984	false_alarm	0.16529968000065764
8.49499999999989	2.3353040000001783	1	False	distractor	red	left	1.1668275000001813	correct_rejection	n/a
9.579000000000178	2.30275679999977	1	True	target	blue	left	1.1681204999995316	hit	0.29881288000103723
10.764000000000124	2.000838599999952	1	False	event	red	left	1.1668252999998003	correct_rejection	n/a
11.94800000000032	2.001663699999881	1	True	event	blue	left	1.1667913999999655	correct_rejection	n/a
12.898000000000138	2.335257400000046	1	False	distractor	red	left	1.168409299999439	correct_rejection	n/a
14.133000000000266	2.335295899999437	1	False	distractor	red	left	1.1668202999999266	correct_rejection	n/a
15.468000000000302	2.0007974000000104	1	False	event	red	right	1.1667886999994153	correct_rejection	n/a
16.41800000000012	2.001631500000258	1	True	event	blue	left	1.1684569000008196	correct_rejection	n/a
17.352000000000317	2.335276800000429	1	False	distractor	red	right	1.168476599999849	correct_rejection	n/a
18.635999999999967	2.002302100000634	1	True	event	blue	left	1.1674583000003622	correct_rejection	n/a
19.771000000000186	2.0017111999995905	1	False	event	red	left	1.16682690000016	correct_rejection	n/a
20.804000000000087	2.001661999999669	1	False	event	red	left	1.168474299999616	correct_rejection	n/a
21.8720000000003	2.335405699999683	1	False	distractor	red	left	1.1676605000002382	correct_rejection	n/a
22.972999999999956	2.0016568000000916	1	False	event	red	left	1.1677162000005694	correct_rejection	n/a
24.291000000000167	2.2676956999994218	1	True	target	blue	right	1.166788099999394	hit	0.26458188000140126
25.52500000000009	2.0020980999997846	1	True	event	blue	right	1.1676552999997512	false_alarm	0.18114658000047257
26.659000000000106	2.3019131999999445	1	True	target	blue	right	1.1676407999993899	hit	0.29796918000135975
27.777000000000044	2.2193428000000495	1	True	target	blue	left	1.1676645999996254	hit	0.21452498000087417
29.110999999999876	2.0024954000000434	1	True	event	blue	left	1.1675961000000825	correct_rejection	n/a
30.07900000000018	2.3185861000001466	1	True	target	blue	right	1.1684747999997853	hit	0.31378818000064257
30.9970000000003	2.000946699999986	1	False	event	red	right	1.1669360000005327	correct_rejection	n/a
31.896999999999935	2.0024872000003597	1	False	event	red	left	1.1676360999999815	correct_rejection	n/a
33.14800000000014	2.335392099999808	1	False	distractor	red	left	1.1676023999998506	correct_rejection	n/a
34.09900000000016	2.2516393000005337	1	True	target	blue	left	1.1667723000000478	hit	0.2508939800012513
35.133000000000266	2.2685638000002655	1	True	target	blue	right	1.1684934000004432	hit	0.26553028000068934
36.05000000000018	2.001670699999522	1	True	event	blue	left	1.1684866999994483	correct_rejection	n/a
37.01900000000023	2.0016455999993923	1	False	event	red	left	1.1667945999997755	correct_rejection	n/a
38.302000000000135	2.001631400000406	1	True	event	blue	left	1.1684006000004956	correct_rejection	n/a
39.235999999999876	2.0016867000003913	1	False	event	red	right	1.168482099999892	correct_rejection	n/a
40.35400000000027	2.3352571999994325	1	False	distractor	red	left	1.1679881999998543	correct_rejection	n/a
41.521999999999935	2.268998699999429	1	True	target	blue	left	1.1672689999995782	hit	0.26676938000071004
42.639000000000124	2.335994600000049	1	False	distractor	red	right	1.167645999999877	correct_rejection	n/a
43.840000000000146	2.235102600000573	1	True	target	blue	right	1.1675460000005842	hit	0.2312418800005389
44.858000000000175	2.000815800000055	1	True	event	blue	right	1.1667864999999438	correct_rejection	n/a
45.97600000000011	2.334416599999713	1	False	distractor	red	right	1.1667888000001767	correct_rejection	n/a
47.22600000000011	2.3357029999997394	1	False	distractor	red	right	1.1672074999996767	correct_rejection	n/a
48.427999999999884	2.3350773000001936	1	False	distractor	red	right	1.1667950000000928	correct_rejection	n/a
49.577999999999975	2.001666799999839	1	False	event	red	right	1.1684386999995695	correct_rejection	n/a
50.64499999999998	2.001643200000217	1	False	event	red	left	1.1684519000000364	correct_rejection	n/a
51.947000000000116	2.0008311999999933	1	False	event	red	right	1.166805700000623	correct_rejection	n/a
53.01499999999987	2.334421300000031	1	False	distractor	red	right	1.1667874000004304	correct_rejection	n/a
54.097999999999956	2.001654000000599	1	False	event	red	right	1.1684480000003248	correct_rejection	n/a
55.34900000000016	2.001664600000339	1	True	event	blue	left	1.1684950999997454	correct_rejection	n/a
56.384000000000015	2.335310600000412	1	False	distractor	red	left	1.166820400000688	correct_rejection	n/a
57.71900000000005	2.267699399999401	1	True	target	blue	right	1.1667859999997745	hit	0.2646055800008753
58.92000000000007	2.0008116999997867	1	False	event	red	right	1.1667680999999277	correct_rejection	n/a
59.92000000000007	2.335269999999582	1	False	distractor	red	right	1.1679007000002457	correct_rejection	n/a
61.05400000000009	2.3186063000002832	1	True	target	blue	left	1.168506899999585	hit	0.3137986800014403
62.35600000000022	2.234342099999594	1	True	target	blue	left	1.1667790000001332	hit	0.23142178000071567
63.65599999999995	2.001648299999971	1	True	event	blue	right	1.1682678999996199	false_alarm	0.19801568000127645
64.82400000000007	2.0010244000004604	1	True	event	blue	right	1.1670044000002235	correct_rejection	n/a
66.0909999999999	2.001668500000079	1	False	event	red	right	1.168228800000179	correct_rejection	n/a
67.42599999999993	2.0016594999997324	1	True	event	blue	right	1.1684772999997222	correct_rejection	n/a
68.42700000000013	2.0016634999992675	1	False	event	red	right	1.1684685999998692	correct_rejection	n/a
69.71100000000024	2.33572290000032	1	False	distractor	red	left	1.1672622000005504	correct_rejection	n/a
70.67900000000009	2.0016554999992593	1	True	event	blue	right	1.1684530999991694	correct_rejection	n/a
71.79600000000028	2.3352900999998383	1	False	distractor	red	right	1.1682905999996933	correct_rejection	n/a
73.07999999999993	2.301931700000779	1	True	target	blue	left	1.1676591000005203	hit	0.29793268000085504
73.99800000000005	2.0016667000000155	1	False	event	red	left	1.1684974000000068	correct_rejection	n/a
75.2159999999999	2.002181899999414	1	True	event	blue	right	1.167327899999691	correct_rejection	n/a
76.16699999999992	2.001107799999801	1	True	event	blue	left	1.167081299999154	correct_rejection	n/a
77.1510000000003	2.3344218999991426	1	False	distractor	red	right	1.1667759999991176	correct_rejection	n/a
78.21900000000005	2.234443700000128	1	True	target	blue	right	1.166801200000009	hit	0.23205918000107317
79.26999999999998	2.001662500000748	1	False	event	red	right	1.1667780000007042	correct_rejection	n/a
80.42000000000007	2.2360771000003012	1	True	target	blue	left	1.1683873000001483	hit	0.2309911800006148
81.73800000000028	2.16829549999963	1	True	target	blue	right	1.167024999999711	hit	0.1658152800013113
82.88799999999992	2.0016752999999596	1	True	event	blue	left	1.1684678999999676	false_alarm	0.23033178000005705
84.22299999999996	2.28605780000089	1	True	target	blue	right	1.1676288000007844	hit	0.28125328000021454
85.54100000000017	2.001652400000239	1	True	event	blue	left	1.1684813000001668	correct_rejection	n/a
86.74200000000019	2.3354518999994696	1	True	target	blue	left	1.1676399999996363	late_response	0.3999099800006434
87.92599999999993	2.001676700000644	1	True	event	blue	right	1.168474199999764	correct_rejection	n/a
88.91000000000031	2.2360370000005787	1	True	target	blue	left	1.1684054000006654	hit	0.2308079800008045
90.22800000000007	2.0010775000000933	1	False	event	red	left	1.1670326000003115	correct_rejection	n/a
91.3119999999999	2.3352688000004207	1	False	distractor	red	left	1.1685058000002755	correct_rejection	n/a
92.61400000000003	2.334432700000434	1	False	distractor	red	left	1.1667856000003667	correct_rejection	n/a
93.73199999999997	2.334442700000153	1	True	target	blue	left	1.1667758000002948	hit	0.3313400800010413
94.68100000000004	2.0016629000001274	1	True	event	blue	right	1.1684859999995467	correct_rejection	n/a
95.84999999999991	2.001648600000408	1	False	event	red	right	1.1668017000001782	correct_rejection	n/a
97.05099999999993	2.0007892000003267	1	True	event	blue	left	1.1667738000005556	correct_rejection	n/a
98.26800000000003	2.3352502000007007	1	False	distractor	red	left	1.1684555000001922	correct_rejection	n/a
99.60200000000032	2.268546100000094	1	True	target	blue	right	1.1684603999992476	hit	0.2643321800009346
100.6869999999999	2.251556199999868	1	True	target	blue	right	1.1672557000001689	hit	0.2487675800006457
101.8710000000001	2.0022372999992513	1	True	event	blue	left	1.1676497999997082	correct_rejection	n/a
103.1220000000003	2.3352608000004693	1	False	distractor	red	right	1.1681448999997883	correct_rejection	n/a
104.30600000000004	2.001675299999988	1	False	event	red	left	1.1684870999997656	correct_rejection	n/a
105.28999999999996	2.001685700000081	1	False	event	red	right	1.168106600000101	correct_rejection	n/a
106.27500000000009	2.334435100000576	1	True	target	blue	left	1.1668073999999535	late_response	0.3479279800006907
107.47499999999991	2.2358926000006534	1	True	target	blue	right	1.1677202999999565	hit	0.23197708000077455
108.54300000000012	2.0016798999995444	1	True	event	blue	right	1.1683493000000453	correct_rejection	n/a
109.79500000000007	2.334405899999183	1	False	distractor	red	right	1.1667812999994567	correct_rejection	n/a
110.97900000000027	2.3344371000002866	1	False	distractor	red	left	1.1667798000007679	correct_rejection	n/a
112.11300000000028	2.0008052000002863	1	False	event	red	left	1.16678469999988	correct_rejection	n/a
113.26299999999992	2.0016481000002386	1	True	event	blue	right	1.168468900000363	correct_rejection	n/a
114.16499999999996	2.3344404999998005	1	False	distractor	red	left	1.1668027000005168	correct_rejection	n/a
115.11500000000024	2.2685609999998917	1	True	target	blue	left	1.1684819000002165	hit	0.26371248000066316
116.15000000000009	2.2176589000000604	1	True	target	blue	right	1.1668026000006648	hit	0.21452918000011323
117.4670000000001	2.002209300000686	1	False	event	red	left	1.1673361000002842	correct_rejection	n/a
125.97499999999991	2.0008569000001444	2	False	event	blue	left	1.1667882000001555	correct_rejection	n/a
127.1590000000001	2.251698300000527	2	True	target	red	left	1.1667858000000706	hit	0.2494342800013385
128.29300000000012	2.234348600000004	2	True	target	red	right	1.1668049999998686	hit	0.23173928000085198
129.21000000000004	2.0019214999992982	2	False	event	blue	left	1.1670627999992575	correct_rejection	n/a
130.24400000000014	2.335282500000176	2	False	distractor	blue	right	1.168496100000084	correct_rejection	n/a
131.54600000000028	2.3344462999993993	2	True	target	red	left	1.1667938999999024	hit	0.3309970800004294
132.7130000000002	2.336000399999648	2	False	distractor	blue	left	1.167652399999497	correct_rejection	n/a
133.91400000000021	2.0024579000000813	2	True	event	red	left	1.1675676000004387	correct_rejection	n/a
